Alt_int,Alt_mid,NO2,p,NO2_mr,AK,AK_trop,T
68.85900782,36.53993809,8525760000000000.0,1015.534141,3.34e-10,0.149176933,0.243379399,289.412262
233.3544243,150.2727345,5718770000000000.0,996.550625,2.26e-10,0.181635082,0.296334267,288.2869263
480.7926896,357.0766847,4362970000000000.0,967.6652344,1.76e-10,0.207558423,0.338627718,286.3202209
856.1462605,674.0570944,3003300000000000.0,925.0479688,1.24e-10,0.329152621,0.537006396,284.0252991
1417.481048,1144.583051,1409450000000000.0,864.9507813,6.2e-11,0.580637217,0.947298849,285.3607788
2037.155469,1731.813387,584002000000000.0,802.8696875,2.75e-11,0.634199679,1.034685012,283.9850464
3058.9699,2532.635423,622137000000000.0,709.2635938,3.18e-11,0.702826649,1.146648641,280.0348816
4065.172263,3536.23659,550698000000000.0,625.9433594,3.12e-11,0.782004952,1.275826575,274.03125
5203.159186,4590.930073,384018000000000.0,541.395,2.43e-11,0.855875626,1.396345209,267.7753601
6414.46549,5731.881157,273886000000000.0,462.333125,1.97e-11,0.926159754,1.51101246,261.1236572
7937.192467,7059.544464,230404000000000.0,376.4992969,1.91e-11,1.000869945,1.63290075,251.9598999
9143.511881,8400.878261,286652000000000.0,317.5051563,2.75e-11,1.071625769,1.748337565,241.0702667
10045.17819,9444.150323,465220000000000.0,278.3847266,5e-11,1.122273684,1.830968698,232.1197968
10920.20779,10333.13954,591718000000000.0,243.3030859,7.04e-11,1.159637898,1.891927721,224.7748413
11514.21415,11060.74072,739130000000000.0,222.0043359,9.69e-11,1.180114478,1.925334881,220.9533386
12435.60468,11788.22193,756711000000000.0,192.968457,1.12e-10,1.183415323,1.930720149,221.7324982
